dive_id,matched_frames,total_frames,unmatched_frames,coverage_percent,coverage_status
2025-09-sa-fr01-001,6,6,0,100.0,COMPLETE
2025-09-sa-fr01-002,49,49,0,100.0,COMPLETE
2025-09-sa-fr01-003,39,39,0,100.0,COMPLETE
2025-09-sa-fr01-004,0,56,56,0.0,NONE
2025-09-sa-fr01-005,0,16,16,0.0,NONE
2025-09-sa-fr01-006,0,16,16,0.0,NONE
2025-09-sa-fr01-007,0,29,29,0.0,NONE
2025-09-sa-fr01-009,0,34,34,0.0,NONE
2025-09-sa-fr01-010,0,5,5,0.0,NONE
2025-09-sa-fr01-011,0,56,56,0.0,NONE
2025-09-sa-fr01-012,11,11,0,100.0,COMPLETE
2025-09-sa-fr01-015,0,68,68,0.0,NONE
2025-09-sa-fr01-016,20,20,0,100.0,COMPLETE
2025-09-sa-fr01-018,0,12,12,0.0,NONE
2025-09-sa-fr01-021,28,28,0,100.0,COMPLETE
2025-09-sa-fr01-022,0,4,4,0.0,NONE
2025-09-sa-fr01-025,16,16,0,100.0,COMPLETE
2025-09-sa-fr01-026,0,20,20,0.0,NONE
2025-09-sa-fr01-028,40,40,0,100.0,COMPLETE
