label_hierarchy,row_count
VME > Echinoderms (Habitat-forming aggregations) > Echinodermata > Ophiuroidea > Brittle star aggregation,652
VME > Tunicates (Habitat-forming aggregations) > Tunicata > Ascidiacea > Dense solitary ascidian aggregation,566
VME > Hydroids > Hydrozoa,530
VME > Bryozoans > Bryozoa > Branching bryozoan,331
VME > Sponges > Porifera > Demospongiae > Encrusting demosponge,297
VME > Coral > Cnidaria > Anthozoa > Alcyonacea (Octocorals / soft corals) > Whip coral,141
VME > Coral > Cnidaria > Anthozoa > Alcyonacea (Octocorals / soft corals) > Arborescent octocoral,120
VME > Echinoderms (Habitat-forming aggregations) > Echinodermata > Crinoidea > Unstalked crinoid field,107
VME > Sponges > Porifera > Demospongiae > Massive demosponge,82
VME > Sponges > Porifera > Hexactinellida > Ball glass sponge,77
VME > Sponges > Porifera > Demospongiae > Branching demosponge,69
VME > Tunicates (Habitat-forming aggregations) > Tunicata > Ascidiacea > Stalked ascidian aggregation,44
VME > Sponges > Porifera > Demospongiae > Ball demosponge,41
VME > Bryozoans > Bryozoa > Dendroid bryozoan,21
VME > Sponges > Porifera > Hexactinellida > Tubular glass sponge,13
VME > Coral > Cnidaria > Anthozoa > Actiniaria (Anemone) > Large anemone field,12
VME > Sponges > Porifera > Hexactinellida > Vase glass sponge,7
VME > Sponges > Porifera > Demospongiae > Cup demosponge,6
VME > Bryozoans > Bryozoa > Fenestrate bryozoan,5
VME > Coral > Cnidaria > Anthozoa > Alcyonacea (Octocorals / soft corals) > Bushy octocoral,5
curious,4
VME > Sponges > Porifera > Demospongiae > Finger demosponge,4
VME > Sponges > Porifera > Calcarea > Calcareous sponge,4
Biotic,3
VME > Echinoderms (Habitat-forming aggregations) > Echinodermata > Ophiuroidea > Basket star aggregation,2
VME > Hydroids,2
VME > Echinoderms (Habitat-forming aggregations) > Echinodermata > Crinoidea > Stalked crinoid field,1
VME > Sponges > Porifera > Hexactinellida > Glass sponge mat,1
VME > Bryozoans > Bryozoa > Soft bryozoan colony,1
