filename,frame_substrate_class,frame_relief_class,frame_substrate_n,frame_substrate_dominance_pct,dominant_broad_substrate,broad_substrate_dominance_pct,primary_modifier,primary_modifier_pct,secondary_modifier,secondary_modifier_pct,relief_primary_pct
2025_09_SA_FR01_001_0038.png,soft_silt_bioturbation,flat,92,62.0,soft,100.0,silt,62.0,bioturbation,38.0,100.0
2025_09_SA_FR01_001_0039.png,soft_silt_bioturbation,flat,105,72.4,soft,100.0,silt,72.4,bioturbation,27.6,100.0
2025_09_SA_FR01_001_0046.png,soft_icescour_silt,flat,80,38.8,soft,77.5,icescour,38.8,silt,38.8,100.0
2025_09_SA_FR01_001_0048.png,soft_silt_ripples,flat,61,44.3,soft,100.0,silt,44.3,ripples,42.6,100.0
2025_09_SA_FR01_001_0049.png,soft_silt,flat,54,61.1,soft,81.5,silt,61.1,,,100.0
2025_09_SA_FR01_001_0056.png,soft_silt,flat,74,85.1,soft,100.0,silt,85.1,,,100.0
2025_09_SA_FR01_002_v1_0011.png,hard_silt_shelldead,flat,67,41.8,hard,58.2,silt,41.8,shelldead,28.4,100.0
2025_09_SA_FR01_002_v1_0012.png,soft_silt_pebble,flat,53,49.1,soft,50.9,silt,49.1,pebble,22.6,100.0
2025_09_SA_FR01_002_v1_0013.png,hard_silt_pebble,flat,51,43.1,hard,56.9,silt,43.1,pebble,31.4,100.0
2025_09_SA_FR01_002_v1_0014.png,hard_silt_shelldead,flat,29,37.9,hard,62.1,silt,37.9,shelldead,31.0,100.0
2025_09_SA_FR01_002_v1_0017.png,soft_silt,flat,35,88.6,soft,88.6,silt,88.6,,,100.0
2025_09_SA_FR01_002_v2_0014.png,hard_soft_silt_pebble,flat,16,43.8,hard | soft,50.0,silt,43.8,pebble,25.0,100.0
2025_09_SA_FR01_002_v2_0015.png,soft_silt,flat_moderate,52,51.9,soft,51.9,silt,51.9,,,71.2
2025_09_SA_FR01_002_v2_0016.png,soft_silt,flat,53,54.7,soft,58.5,silt,54.7,,,83.0
2025_09_SA_FR01_002_v2_0017.png,soft_silt_boulder,flat_moderate,60,55.0,soft,58.3,silt,55.0,boulder,28.3,68.3
2025_09_SA_FR01_002_v2_0018.png,soft_silt,flat,65,56.9,soft,56.9,silt,56.9,,,87.7
2025_09_SA_FR01_002_v2_0019.png,hard_pebble_silt,flat,75,46.7,hard,68.0,pebble,46.7,silt,32.0,97.3
2025_09_SA_FR01_002_v2_0020.png,soft_silt,flat_moderate,71,59.2,soft,70.4,silt,59.2,,,64.8
2025_09_SA_FR01_002_v2_0021.png,soft_silt,flat,89,51.7,soft,57.3,silt,51.7,,,94.4
2025_09_SA_FR01_002_v2_0022.png,soft_silt,flat,69,71.0,soft,71.0,silt,71.0,,,100.0
2025_09_SA_FR01_002_v2_0023.png,soft_silt,flat,73,64.4,soft,68.5,silt,64.4,,,100.0
2025_09_SA_FR01_002_v2_0024.png,soft_silt,flat,80,88.8,soft,90.0,silt,88.8,,,100.0
2025_09_SA_FR01_002_v2_0025.png,soft_silt,flat,67,70.1,soft,79.1,silt,70.1,,,100.0
2025_09_SA_FR01_002_v2_0026.png,soft_silt,flat,63,87.3,soft,92.1,silt,87.3,,,100.0
2025_09_SA_FR01_002_v2_0027.png,soft_silt,flat_moderate,79,86.1,soft,87.3,silt,86.1,,,55.7
2025_09_SA_FR01_002_v2_0028.png,soft_silt,flat,88,75.0,soft,78.4,silt,75.0,,,98.9
2025_09_SA_FR01_002_v2_0029.png,soft_silt,flat,80,81.2,soft,88.8,silt,81.2,,,100.0
2025_09_SA_FR01_002_v2_0030.png,soft_silt,flat,47,70.2,soft,83.0,silt,70.2,,,100.0
2025_09_SA_FR01_002_v2_0032.png,soft_silt,flat,75,81.3,soft,90.7,silt,81.3,,,100.0
2025_09_SA_FR01_002_v2_0033.png,soft_silt,flat,67,58.2,soft,65.7,silt,58.2,,,100.0
2025_09_SA_FR01_002_v2_0034.png,soft_silt,flat,65,72.3,soft,87.7,silt,72.3,,,100.0
2025_09_SA_FR01_002_v2_0035.png,soft_silt,flat,68,83.8,soft,92.6,silt,83.8,,,100.0
