model,predictor,sampling_level,permutation_restriction,n,n_dives,p_value,p_adjusted_global,raw_p_below_alpha,global_fdr_below_alpha,permdisp_p_value,permdisp_p_adjusted_global,dispersion_differs_global_fdr,interpretation_flag,multiplicity_note
frame_depth_m,depth_m,frame,dive_id,179,7,0.4558,0.6614285714285715,FALSE,FALSE,NA,NA,NA,not_supported_at_alpha,Primary correction = BH/FDR across all reported inferential PERMANOVA terms
frame_temperature,temperature,frame,dive_id,179,7,0.0138,0.051666666666666666,TRUE,FALSE,NA,NA,NA,raw_signal_not_supported_after_global_fdr,Primary correction = BH/FDR across all reported inferential PERMANOVA terms
frame_frame_substrate_class,frame_substrate_class,frame,dive_id,366,17,0.0155,0.051666666666666666,TRUE,FALSE,1e-4,1e-4,TRUE,categorical_result_cautioned_by_dispersion_difference,Primary correction = BH/FDR across all reported inferential PERMANOVA terms
frame_frame_relief_class,frame_relief_class,frame,dive_id,420,17,0.792,0.792,FALSE,FALSE,1e-4,1e-4,TRUE,categorical_result_cautioned_by_dispersion_difference,Primary correction = BH/FDR across all reported inferential PERMANOVA terms
frame_combined_environment,depth_m,frame,dive_id,141,6,0.6964,0.792,FALSE,FALSE,NA,NA,NA,not_supported_at_alpha,Primary correction = BH/FDR across all reported inferential PERMANOVA terms
frame_combined_environment,temperature,frame,dive_id,141,6,0.0093,0.051666666666666666,TRUE,FALSE,NA,NA,NA,raw_signal_not_supported_after_global_fdr,Primary correction = BH/FDR across all reported inferential PERMANOVA terms
frame_combined_environment,frame_substrate_class,frame,dive_id,141,6,0.0256,0.064,TRUE,FALSE,1e-4,1e-4,TRUE,categorical_result_cautioned_by_dispersion_difference,Primary correction = BH/FDR across all reported inferential PERMANOVA terms
frame_combined_environment,frame_relief_class,frame,dive_id,141,6,0.1934,0.3868,FALSE,FALSE,1e-4,1e-4,TRUE,categorical_result_cautioned_by_dispersion_difference,Primary correction = BH/FDR across all reported inferential PERMANOVA terms
dive_lat,lat,dive,none_dive_is_unit,18,18,0.463,0.6614285714285715,FALSE,FALSE,NA,NA,NA,not_supported_at_alpha,Primary correction = BH/FDR across all reported inferential PERMANOVA terms
dive_long,long,dive,none_dive_is_unit,18,18,0.7811,0.792,FALSE,FALSE,NA,NA,NA,not_supported_at_alpha,Primary correction = BH/FDR across all reported inferential PERMANOVA terms
