term,Df,SumOfSqs,R2,F,Pr(>F),p_value,r_squared,pseudo_f,model,predictor,sampling_level,permutation_restriction,n,n_dives,dives_with_within_predictor_variation,minimum_factor_group_n,is_inferential_term,p_adjusted_global
depth_m,1,2.969165815358977,0.06958700561858393,13.238099713641928,0.4558,0.4558,0.06958700561858393,13.238099713641928,frame_depth_m,depth_m,frame,dive_id,179,7,7,NA,TRUE,0.6614285714285715
Residual,177,39.69922879316017,0.9304129943814164,NA,NA,NA,0.9304129943814164,NA,frame_depth_m,Residual,frame,dive_id,179,7,7,NA,FALSE,NA
Total,178,42.66839460851913,1,NA,NA,NA,1,NA,frame_depth_m,Total,frame,dive_id,179,7,7,NA,FALSE,NA
temperature,1,6.094691451472677,0.14283854612743777,29.495519835071025,0.0138,0.0138,0.14283854612743777,29.495519835071025,frame_temperature,temperature,frame,dive_id,179,7,7,NA,TRUE,0.051666666666666666
Residual,177,36.57370315704647,0.8571614538725626,NA,NA,NA,0.8571614538725626,NA,frame_temperature,Residual,frame,dive_id,179,7,7,NA,FALSE,NA
Total,178,42.66839460851913,1,NA,NA,NA,1,NA,frame_temperature,Total,frame,dive_id,179,7,7,NA,FALSE,NA
frame_substrate_class,6,11.010301803191155,0.13614451168300995,9.429794750628815,0.0155,0.0155,0.13614451168300995,9.429794750628815,frame_frame_substrate_class,frame_substrate_class,frame,dive_id,366,17,11,5,TRUE,0.051666666666666666
Residual,359,69.8618660652192,0.8638554883169883,NA,NA,NA,0.8638554883169883,NA,frame_frame_substrate_class,Residual,frame,dive_id,366,17,11,5,FALSE,NA
Total,365,80.8721678684105,1,NA,NA,NA,1,NA,frame_frame_substrate_class,Total,frame,dive_id,366,17,11,5,FALSE,NA
frame_relief_class,1,2.5180139157302364,0.025017615424068666,10.72569454863445,0.792,0.792,0.025017615424068666,10.72569454863445,frame_frame_relief_class,frame_relief_class,frame,dive_id,420,17,1,5,TRUE,0.792
Residual,418,98.13162327182275,0.974982384575933,NA,NA,NA,0.974982384575933,NA,frame_frame_relief_class,Residual,frame,dive_id,420,17,1,5,FALSE,NA
Total,419,100.64963718755281,1,NA,NA,NA,1,NA,frame_frame_relief_class,Total,frame,dive_id,420,17,1,5,FALSE,NA
depth_m,1,3.1440179326226847,0.10037258279399133,21.724922838359056,0.6964,0.6964,0.10037258279399133,21.724922838359056,frame_combined_environment,depth_m,frame,dive_id,141,6,NA,5,TRUE,0.792
temperature,1,2.0259942069314754,0.0646797428110538,13.999464621320582,0.0093,0.0093,0.0646797428110538,13.999464621320582,frame_combined_environment,temperature,frame,dive_id,141,6,NA,5,TRUE,0.051666666666666666
frame_substrate_class,3,1.5438346013889124,0.049286826496842975,3.555926239303679,0.0256,0.0256,0.049286826496842975,3.555926239303679,frame_combined_environment,frame_substrate_class,frame,dive_id,141,6,NA,5,TRUE,0.064
frame_relief_class,1,1.3306160061221135,0.0424798357082177,9.19445457372893,0.1934,0.1934,0.0424798357082177,9.19445457372893,frame_combined_environment,frame_relief_class,frame,dive_id,141,6,NA,5,TRUE,0.3868
Residual,134,19.392400429039295,0.6191012135908119,NA,NA,NA,0.6191012135908119,NA,frame_combined_environment,Residual,frame,dive_id,141,6,NA,5,FALSE,NA
Total,140,31.323473453658075,1,NA,NA,NA,1,NA,frame_combined_environment,Total,frame,dive_id,141,6,NA,5,FALSE,NA
lat,1,0.2177722935435793,0.05693080769338081,0.9658813271867918,0.463,0.463,0.05693080769338081,0.9658813271867918,dive_lat,lat,dive,none_dive_is_unit,18,18,NA,NA,TRUE,0.6614285714285715
Residual,16,3.6074376826869012,0.9430691923066191,NA,NA,NA,0.9430691923066191,NA,dive_lat,Residual,dive,none_dive_is_unit,18,18,NA,NA,FALSE,NA
Total,17,3.825209976230481,1,NA,NA,NA,1,NA,dive_lat,Total,dive,none_dive_is_unit,18,18,NA,NA,FALSE,NA
long,1,0.15632145243161766,0.04086611020126619,0.6817168803799287,0.7811,0.7811,0.04086611020126619,0.6817168803799287,dive_long,long,dive,none_dive_is_unit,18,18,NA,NA,TRUE,0.792
Residual,16,3.668888523798863,0.9591338897987337,NA,NA,NA,0.9591338897987337,NA,dive_long,Residual,dive,none_dive_is_unit,18,18,NA,NA,FALSE,NA
Total,17,3.825209976230481,1,NA,NA,NA,1,NA,dive_long,Total,dive,none_dive_is_unit,18,18,NA,NA,FALSE,NA
