response,predictor,analysis_method,sampling_level,effect_scope,n,n_dives,edf,ref_df,statistic,p_value,r_squared,deviance_explained,p_adjusted_within_method,p_adjust_family
observed_common_id_richness,depth_m,gam_with_dive_random_intercept,frame,within_dive,179,7,0.35613072734328505,4,0.13249557413419316,0.22166479428758656,0.2276926432118711,0.25148962048708273,0.2955530590501154,BH_within_gam_with_dive_random_intercept
observed_common_id_richness,temperature,gam_with_dive_random_intercept,frame,within_dive,179,7,1.7085315882628638,4,6.482845898220365,0.0033024574585988065,0.25405259812756453,0.2830178098270856,0.013209829834395226,BH_within_gam_with_dive_random_intercept
rarefied_common_id_richness,depth_m,gam_with_dive_random_intercept,frame,within_dive,179,7,2.1058406871973898e-4,4,7.355214096515094e-6,0.757613382320092,0.22994826142953773,0.2526637467714145,0.757613382320092,BH_within_gam_with_dive_random_intercept
rarefied_common_id_richness,temperature,gam_with_dive_random_intercept,frame,within_dive,179,7,1.6807704949140083,4,7.293441330900336,0.0030244712797411477,0.2703176767342613,0.2990967825699136,0.013209829834395226,BH_within_gam_with_dive_random_intercept
shannon_common_id_diversity,depth_m,gam_with_dive_random_intercept,frame,within_dive,179,7,1.1050158494484502e-4,4,6.311670281038988e-6,0.6648520641474441,0.2542931977428884,0.2763999179569789,0.7252931608881208,BH_within_gam_with_dive_random_intercept
shannon_common_id_diversity,temperature,gam_with_dive_random_intercept,frame,within_dive,179,7,1.7231909575132707,4,8.549069496579243,0.002426965804226522,0.2964078918672205,0.3244265925195471,0.013209829834395226,BH_within_gam_with_dive_random_intercept
inverse_simpson_common_id_diversity,depth_m,gam_with_dive_random_intercept,frame,within_dive,179,7,1.9054634616918044e-4,4,1.6759325785758552e-5,0.5730742141652064,0.23277249399444933,0.2554343193733047,0.6876890569982477,BH_within_gam_with_dive_random_intercept
inverse_simpson_common_id_diversity,temperature,gam_with_dive_random_intercept,frame,within_dive,179,7,1.4426311057516685,4,3.5923736850543784,0.0073150169144664545,0.26265152669940195,0.2906358198037902,0.021945050743399364,BH_within_gam_with_dive_random_intercept
pielou_evenness,depth_m,gam_with_dive_random_intercept,frame,within_dive,178,7,0.8560483959131227,4,0.8295584202923328,0.0439997563702601,0.23071177559286615,0.2574157337096056,0.06599963455539015,BH_within_gam_with_dive_random_intercept
pielou_evenness,temperature,gam_with_dive_random_intercept,frame,within_dive,178,7,1.165507115258814,4,2.200847795839311,0.035129209955991225,0.23895320996406855,0.2668591869626471,0.06022150278169924,BH_within_gam_with_dive_random_intercept
