response,predictor,analysis_method,sampling_level,effect_scope,n,n_dives,estimate,std_error,statistic,p_value,r_squared,deviance_explained,edf,permutations,p_adjusted_within_method,p_adjust_family
observed_common_id_richness,depth_m,spearman_blocked_within_dive,frame,within_dive,179,7,-0.0531402725630979,NA,-0.0531402725630979,0.4222,NA,NA,NA,9999,0.46058181818181815,BH_within_spearman_blocked_within_dive
observed_common_id_richness,depth_m,linear_with_dive_random_intercept,frame,within_dive,179,7,-0.019299720075824686,0.016124394770534026,-1.1969267901511131,0.23298342839175978,0.2271942391351467,0.25379979243250383,NA,NA,0.3494751425876397,BH_within_linear_with_dive_random_intercept
observed_common_id_richness,depth_m,log1p_linear_with_dive_random_intercept,frame,within_dive,179,7,-0.002015457969945206,0.0025346213331028295,-0.7951712327292398,0.42761035061650543,0.2141862426033554,0.24103839326079757,NA,NA,0.5131324207398065,BH_within_log1p_linear_with_dive_random_intercept
observed_common_id_richness,temperature,spearman_blocked_within_dive,frame,within_dive,179,7,-0.19173859097626522,NA,-0.19173859097626522,0.003,NA,NA,NA,9999,0.012,BH_within_spearman_blocked_within_dive
observed_common_id_richness,temperature,linear_with_dive_random_intercept,frame,within_dive,179,7,-0.15109549834891434,0.19327963344004293,-0.7817455758771682,0.43543966632585085,0.22350179612423082,0.25021772019159433,NA,NA,0.5805862217678011,BH_within_linear_with_dive_random_intercept
observed_common_id_richness,temperature,log1p_linear_with_dive_random_intercept,frame,within_dive,179,7,-0.027909476533885525,0.030290560708514703,-0.9213918752596794,0.35813705509490235,0.21517497213865988,0.24199800303796368,NA,NA,0.4775160734598698,BH_within_log1p_linear_with_dive_random_intercept
rarefied_common_id_richness,depth_m,spearman_blocked_within_dive,frame,within_dive,179,7,0.04931791753914298,NA,0.04931791753914298,0.4623,NA,NA,NA,9999,0.4623,BH_within_spearman_blocked_within_dive
rarefied_common_id_richness,depth_m,linear_with_dive_random_intercept,frame,within_dive,179,7,0.002735392245589863,0.00849615473772206,0.3219565003265537,0.7478771675954359,0.22591579686579322,0.253081524721766,NA,NA,0.7478771675954359,BH_within_linear_with_dive_random_intercept
rarefied_common_id_richness,depth_m,log1p_linear_with_dive_random_intercept,frame,within_dive,179,7,0.0010562494103640687,0.0018193462125240909,0.5805653718313838,0.5622942330154115,0.22480250413263725,0.251868975173965,NA,NA,0.5622942330154115,BH_within_log1p_linear_with_dive_random_intercept
rarefied_common_id_richness,temperature,spearman_blocked_within_dive,frame,within_dive,179,7,-0.21211093875149242,NA,-0.21211093875149242,4e-4,NA,NA,NA,9999,0.003,BH_within_spearman_blocked_within_dive
rarefied_common_id_richness,temperature,linear_with_dive_random_intercept,frame,within_dive,179,7,-0.1862300476271098,0.10062736763292844,-1.8506898471839728,0.0659318652149224,0.2406528549794149,0.26736088581236245,NA,NA,0.1138888826086254,BH_within_linear_with_dive_random_intercept
rarefied_common_id_richness,temperature,log1p_linear_with_dive_random_intercept,frame,within_dive,179,7,-0.04307221339396331,0.021527226435182574,-2.00082502609668,0.04698622544226548,0.24103354740552918,0.2676007015741321,NA,NA,0.09397245088453096,BH_within_log1p_linear_with_dive_random_intercept
shannon_common_id_diversity,depth_m,spearman_blocked_within_dive,frame,within_dive,179,7,0.05558973071370285,NA,0.05558973071370285,0.4131,NA,NA,NA,9999,0.46058181818181815,BH_within_spearman_blocked_within_dive
shannon_common_id_diversity,depth_m,linear_with_dive_random_intercept,frame,within_dive,179,7,0.0014618780128622304,0.0031549850070463365,0.4633549793730478,0.6436966528189353,0.2508763406050537,0.27727916873003305,NA,NA,0.7022145303479294,BH_within_linear_with_dive_random_intercept
shannon_common_id_diversity,depth_m,log1p_linear_with_dive_random_intercept,frame,within_dive,179,7,9.986627630048516e-4,0.0015140901735854184,0.6595794493798102,0.5104070490614605,0.2389477060923264,0.2655407142137345,NA,NA,0.5568076898852296,BH_within_log1p_linear_with_dive_random_intercept
shannon_common_id_diversity,temperature,spearman_blocked_within_dive,frame,within_dive,179,7,-0.2191057154432867,NA,-0.2191057154432867,5e-4,NA,NA,NA,9999,0.003,BH_within_spearman_blocked_within_dive
shannon_common_id_diversity,temperature,linear_with_dive_random_intercept,frame,within_dive,179,7,-0.06905108366530922,0.03738097577156706,-1.8472252861261924,0.06643518152169815,0.26459776688643155,0.2905693834722228,NA,NA,0.1138888826086254,BH_within_linear_with_dive_random_intercept
shannon_common_id_diversity,temperature,log1p_linear_with_dive_random_intercept,frame,within_dive,179,7,-0.033970646676703686,0.017941988839541338,-1.8933601497866108,0.059991398731341294,0.25266220781746285,0.2788317557095757,NA,NA,0.1028423978251565,BH_within_log1p_linear_with_dive_random_intercept
