response,predictor,sampling_level,effect_scope,n,n_dives,dives_with_within_predictor_variation
observed_common_id_richness,depth_m,frame,within_dive,179,7,7
observed_common_id_richness,temperature,frame,within_dive,179,7,7
rarefied_common_id_richness,depth_m,frame,within_dive,179,7,7
rarefied_common_id_richness,temperature,frame,within_dive,179,7,7
shannon_common_id_diversity,depth_m,frame,within_dive,179,7,7
shannon_common_id_diversity,temperature,frame,within_dive,179,7,7
inverse_simpson_common_id_diversity,depth_m,frame,within_dive,179,7,7
inverse_simpson_common_id_diversity,temperature,frame,within_dive,179,7,7
pielou_evenness,depth_m,frame,within_dive,178,7,7
pielou_evenness,temperature,frame,within_dive,178,7,7
pct_biotic_all,depth_m,frame,within_dive,179,7,7
pct_biotic_all,temperature,frame,within_dive,179,7,7
observed_common_id_richness,lat,dive,between_dive,18,18,NA
observed_common_id_richness,long,dive,between_dive,18,18,NA
rarefied_common_id_richness,lat,dive,between_dive,18,18,NA
rarefied_common_id_richness,long,dive,between_dive,18,18,NA
shannon_common_id_diversity,lat,dive,between_dive,18,18,NA
shannon_common_id_diversity,long,dive,between_dive,18,18,NA
inverse_simpson_common_id_diversity,lat,dive,between_dive,18,18,NA
inverse_simpson_common_id_diversity,long,dive,between_dive,18,18,NA
pielou_evenness,lat,dive,between_dive,18,18,NA
pielou_evenness,long,dive,between_dive,18,18,NA
pct_biotic_all,lat,dive,between_dive,18,18,NA
pct_biotic_all,long,dive,between_dive,18,18,NA
