community_unit,predictor,n,n_dives,frames_present,frames_absent,dives_with_within_dive_occurrence_variation,dives_with_predictor_variation,inferentially_eligible,exclusion_reason
Echinoderm_brittlestar,depth_m,179,7,162,17,4,7,TRUE,eligible
Echinoderm_brittlestar,temperature,179,7,162,17,4,6,TRUE,eligible
Mollusc_bivalvia_burrowingclam,depth_m,179,7,97,82,5,7,TRUE,eligible
Mollusc_bivalvia_burrowingclam,temperature,179,7,97,82,5,6,TRUE,eligible
Coral_hydrocoral_branching,depth_m,179,7,78,101,7,7,TRUE,eligible
Coral_hydrocoral_branching,temperature,179,7,78,101,7,6,TRUE,eligible
Worm_annelida_tube,depth_m,179,7,71,108,7,7,TRUE,eligible
Worm_annelida_tube,temperature,179,7,71,108,7,6,TRUE,eligible
Sponge_true_demospongiae_crust_encrusting,depth_m,179,7,78,101,6,7,TRUE,eligible
Sponge_true_demospongiae_crust_encrusting,temperature,179,7,78,101,6,6,TRUE,eligible
Tunicate_ascidian_unstalked_solitary,depth_m,179,7,62,117,5,7,TRUE,eligible
Tunicate_ascidian_unstalked_solitary,temperature,179,7,62,117,5,6,TRUE,eligible
Macroalgae_encrusting_red_calcareous,depth_m,179,7,69,110,4,7,TRUE,eligible
Macroalgae_encrusting_red_calcareous,temperature,179,7,69,110,4,6,TRUE,eligible
Echinoderm_crinoid_unstalked,depth_m,179,7,46,133,4,7,TRUE,eligible
Echinoderm_crinoid_unstalked,temperature,179,7,46,133,4,6,TRUE,eligible
Anemone_true_other,depth_m,179,7,15,164,4,7,TRUE,eligible
Anemone_true_other,temperature,179,7,15,164,4,6,TRUE,eligible
Bryozoan_hard_branching,depth_m,179,7,28,151,4,7,TRUE,eligible
Bryozoan_hard_branching,temperature,179,7,28,151,4,6,TRUE,eligible
Tunicate_ascidian_stalked_solitary,depth_m,179,7,12,167,2,7,TRUE,eligible
Tunicate_ascidian_stalked_solitary,temperature,179,7,12,167,2,6,TRUE,eligible
Coral_octocoral_massivesoft,depth_m,179,7,38,141,3,7,TRUE,eligible
Coral_octocoral_massivesoft,temperature,179,7,38,141,3,6,TRUE,eligible
