community_unit,predictor,n,n_dives,factor_levels,dives_with_within_dive_factor_variation,frames_present,frames_absent,inferentially_eligible,exclusion_reason
Echinoderm_brittlestar,frame_substrate_class,253,11,4,11,237,16,TRUE,eligible
Echinoderm_brittlestar,frame_relief_class,0,0,0,1,0,0,FALSE,too_few_dives_with_within_dive_factor_variation
Mollusc_bivalvia_burrowingclam,frame_substrate_class,253,11,4,11,175,78,TRUE,eligible
Mollusc_bivalvia_burrowingclam,frame_relief_class,0,0,0,1,0,0,FALSE,too_few_dives_with_within_dive_factor_variation
Coral_hydrocoral_branching,frame_substrate_class,253,11,4,11,123,130,TRUE,eligible
Coral_hydrocoral_branching,frame_relief_class,0,0,0,1,0,0,FALSE,too_few_dives_with_within_dive_factor_variation
Worm_annelida_tube,frame_substrate_class,253,11,4,11,103,150,TRUE,eligible
Worm_annelida_tube,frame_relief_class,0,0,0,1,0,0,FALSE,too_few_dives_with_within_dive_factor_variation
Sponge_true_demospongiae_crust_encrusting,frame_substrate_class,253,11,4,11,61,192,TRUE,eligible
Sponge_true_demospongiae_crust_encrusting,frame_relief_class,0,0,0,1,0,0,FALSE,too_few_dives_with_within_dive_factor_variation
Tunicate_ascidian_unstalked_solitary,frame_substrate_class,253,11,4,11,65,188,TRUE,eligible
Tunicate_ascidian_unstalked_solitary,frame_relief_class,0,0,0,1,0,0,FALSE,too_few_dives_with_within_dive_factor_variation
Macroalgae_encrusting_red_calcareous,frame_substrate_class,253,11,4,11,36,217,TRUE,eligible
Macroalgae_encrusting_red_calcareous,frame_relief_class,0,0,0,1,0,0,FALSE,too_few_dives_with_within_dive_factor_variation
Echinoderm_crinoid_unstalked,frame_substrate_class,253,11,4,11,52,201,TRUE,eligible
Echinoderm_crinoid_unstalked,frame_relief_class,0,0,0,1,0,0,FALSE,too_few_dives_with_within_dive_factor_variation
Anemone_true_other,frame_substrate_class,253,11,4,11,59,194,TRUE,eligible
Anemone_true_other,frame_relief_class,0,0,0,1,0,0,FALSE,too_few_dives_with_within_dive_factor_variation
Bryozoan_hard_branching,frame_substrate_class,253,11,4,11,46,207,TRUE,eligible
Bryozoan_hard_branching,frame_relief_class,0,0,0,1,0,0,FALSE,too_few_dives_with_within_dive_factor_variation
Tunicate_ascidian_stalked_solitary,frame_substrate_class,253,11,4,11,55,198,TRUE,eligible
Tunicate_ascidian_stalked_solitary,frame_relief_class,0,0,0,1,0,0,FALSE,too_few_dives_with_within_dive_factor_variation
Coral_octocoral_massivesoft,frame_substrate_class,253,11,4,11,31,222,TRUE,eligible
Coral_octocoral_massivesoft,frame_relief_class,0,0,0,1,0,0,FALSE,too_few_dives_with_within_dive_factor_variation
