community_unit,predictor,response_type,analysis_method,effect_scope,n,n_dives,factor_levels,df,statistic,p_value,rank_deficient,deviance_explained,model_r_squared,p_adjusted_within_model_family,p_adjust_family
Echinoderm_brittlestar,frame_substrate_class,frame_occurrence,binomial_factor_with_dive_random_intercept,within_dives_where_factor_varies,253,11,4,1,NA,NA,TRUE,0.5169815138718216,0.3680120119221748,NA,BH_within_binomial_factor_with_dive_random_intercept_frame_substrate_class_frame_occurrence
Echinoderm_brittlestar,frame_substrate_class,valid_point_cover,quasibinomial_factor_with_dive_random_intercept,within_dives_where_factor_varies,253,11,4,3,11.197572594720773,0.010704120004654705,FALSE,0.6124170148445534,0.5656341007295025,0.07492884003258293,BH_within_quasibinomial_factor_with_dive_random_intercept_frame_substrate_class_valid_point_cover
Mollusc_bivalvia_burrowingclam,frame_substrate_class,frame_occurrence,binomial_factor_with_dive_random_intercept,within_dives_where_factor_varies,253,11,4,3,2.2176915488217093,0.5284720996457418,FALSE,0.20389204653983803,0.22015200283875647,0.7308581117305158,BH_within_binomial_factor_with_dive_random_intercept_frame_substrate_class_frame_occurrence
Mollusc_bivalvia_burrowingclam,frame_substrate_class,valid_point_cover,quasibinomial_factor_with_dive_random_intercept,within_dives_where_factor_varies,253,11,4,3,5.406185254176367,0.14435870213903343,FALSE,0.3553232356080127,0.3157316578778401,0.33451160007110414,BH_within_quasibinomial_factor_with_dive_random_intercept_frame_substrate_class_valid_point_cover
Coral_hydrocoral_branching,frame_substrate_class,frame_occurrence,binomial_factor_with_dive_random_intercept,within_dives_where_factor_varies,253,11,4,3,3.7665370457683216,0.28780250009182584,FALSE,0.17477783289883897,0.19370308847866802,0.6170630653142406,BH_within_binomial_factor_with_dive_random_intercept_frame_substrate_class_frame_occurrence
Coral_hydrocoral_branching,frame_substrate_class,valid_point_cover,quasibinomial_factor_with_dive_random_intercept,within_dives_where_factor_varies,253,11,4,3,3.775709203573714,0.28672422863237496,FALSE,0.24973358322430103,0.15283702799655197,0.33451160007110414,BH_within_quasibinomial_factor_with_dive_random_intercept_frame_substrate_class_valid_point_cover
Worm_annelida_tube,frame_substrate_class,frame_occurrence,binomial_factor_with_dive_random_intercept,within_dives_where_factor_varies,253,11,4,3,3.595932050562368,0.3085315326571203,FALSE,0.256880888272946,0.27565139757503043,0.6170630653142406,BH_within_binomial_factor_with_dive_random_intercept_frame_substrate_class_frame_occurrence
Worm_annelida_tube,frame_substrate_class,valid_point_cover,quasibinomial_factor_with_dive_random_intercept,within_dives_where_factor_varies,253,11,4,3,4.515301509225933,0.21092948179402607,FALSE,0.3824048392433951,0.2949829522712546,0.33451160007110414,BH_within_quasibinomial_factor_with_dive_random_intercept_frame_substrate_class_valid_point_cover
Sponge_true_demospongiae_crust_encrusting,frame_substrate_class,frame_occurrence,binomial_factor_with_dive_random_intercept,within_dives_where_factor_varies,253,11,4,3,1.827132719951033,0.6090484264420966,FALSE,0.27511726582617935,0.27437587867822155,0.7308581117305158,BH_within_binomial_factor_with_dive_random_intercept_frame_substrate_class_frame_occurrence
Sponge_true_demospongiae_crust_encrusting,frame_substrate_class,valid_point_cover,quasibinomial_factor_with_dive_random_intercept,within_dives_where_factor_varies,253,11,4,3,2.512474215332615,0.4730409309216,FALSE,0.5198678392738613,0.4371720051396337,0.4730409309216,BH_within_quasibinomial_factor_with_dive_random_intercept_frame_substrate_class_valid_point_cover
Tunicate_ascidian_unstalked_solitary,frame_substrate_class,frame_occurrence,binomial_factor_with_dive_random_intercept,within_dives_where_factor_varies,253,11,4,3,9.480530735413707,0.023539385265293568,FALSE,0.3949742829104855,0.3635934384715256,0.14123631159176142,BH_within_binomial_factor_with_dive_random_intercept_frame_substrate_class_frame_occurrence
Tunicate_ascidian_unstalked_solitary,frame_substrate_class,valid_point_cover,quasibinomial_factor_with_dive_random_intercept,within_dives_where_factor_varies,253,11,4,3,3.9189826809441,0.27034647853028654,FALSE,0.5532037357029637,0.3255699216828333,0.33451160007110414,BH_within_quasibinomial_factor_with_dive_random_intercept_frame_substrate_class_valid_point_cover
Macroalgae_encrusting_red_calcareous,frame_substrate_class,frame_occurrence,binomial_factor_with_dive_random_intercept,within_dives_where_factor_varies,253,11,4,3,4.248654233078137e-5,0.9999999263470148,FALSE,0.7211429075953998,0.6750878202127397,0.9999999263470148,BH_within_binomial_factor_with_dive_random_intercept_frame_substrate_class_frame_occurrence
Macroalgae_encrusting_red_calcareous,frame_substrate_class,valid_point_cover,quasibinomial_factor_with_dive_random_intercept,within_dives_where_factor_varies,253,11,4,3,8.337538862297732,0.03952733505097398,FALSE,0.8046331549809064,0.6826520492778718,0.13834567267840892,BH_within_quasibinomial_factor_with_dive_random_intercept_frame_substrate_class_valid_point_cover
Echinoderm_crinoid_unstalked,frame_substrate_class,frame_occurrence,binomial_factor_with_dive_random_intercept,within_dives_where_factor_varies,253,11,4,2,NA,NA,TRUE,0.26673676059731477,0.2031986849983931,NA,BH_within_binomial_factor_with_dive_random_intercept_frame_substrate_class_frame_occurrence
Echinoderm_crinoid_unstalked,frame_substrate_class,valid_point_cover,quasibinomial_factor_with_dive_random_intercept,within_dives_where_factor_varies,253,11,4,2,NA,NA,TRUE,0.2899905534531253,0.10186724273156456,NA,BH_within_quasibinomial_factor_with_dive_random_intercept_frame_substrate_class_valid_point_cover
Anemone_true_other,frame_substrate_class,frame_occurrence,binomial_factor_with_dive_random_intercept,within_dives_where_factor_varies,253,11,4,1,NA,NA,TRUE,0.5032283951219534,0.4997355194818226,NA,BH_within_binomial_factor_with_dive_random_intercept_frame_substrate_class_frame_occurrence
Anemone_true_other,frame_substrate_class,valid_point_cover,quasibinomial_factor_with_dive_random_intercept,within_dives_where_factor_varies,253,11,4,1,NA,NA,TRUE,0.6419413280263787,0.38907408363868057,NA,BH_within_quasibinomial_factor_with_dive_random_intercept_frame_substrate_class_valid_point_cover
Bryozoan_hard_branching,frame_substrate_class,frame_occurrence,binomial_factor_with_dive_random_intercept,within_dives_where_factor_varies,253,11,4,1,NA,NA,TRUE,0.3874481810097646,0.3504511608913464,NA,BH_within_binomial_factor_with_dive_random_intercept_frame_substrate_class_frame_occurrence
Bryozoan_hard_branching,frame_substrate_class,valid_point_cover,quasibinomial_factor_with_dive_random_intercept,within_dives_where_factor_varies,253,11,4,1,NA,NA,TRUE,0.47821791333785324,0.24042062602117387,NA,BH_within_quasibinomial_factor_with_dive_random_intercept_frame_substrate_class_valid_point_cover
Tunicate_ascidian_stalked_solitary,frame_substrate_class,frame_occurrence,binomial_factor_with_dive_random_intercept,within_dives_where_factor_varies,253,11,4,1,NA,NA,TRUE,0.5162864460805912,0.518125574223296,NA,BH_within_binomial_factor_with_dive_random_intercept_frame_substrate_class_frame_occurrence
