community_unit,predictor,response_type,analysis_method,sampling_level,n_dives,rho,p_value,p_adjusted_within_geographic_family,p_adjust_family
Echinoderm_brittlestar,lat,dive_frame_prevalence,spearman_dive_level,dive,18,-0.179005829343311,0.47726533530412696,0.7572590889578957,BH_within_lat_dive_frame_prevalence
Echinoderm_brittlestar,long,dive_frame_prevalence,spearman_dive_level,dive,18,0.10536419068941723,0.6773429196052125,0.9786433508952158,BH_within_long_dive_frame_prevalence
Mollusc_bivalvia_burrowingclam,lat,dive_frame_prevalence,spearman_dive_level,dive,18,0.12149768536533048,0.6310492407982464,0.7572590889578957,BH_within_lat_dive_frame_prevalence
Mollusc_bivalvia_burrowingclam,long,dive_frame_prevalence,spearman_dive_level,dive,18,-0.16926600610725526,0.5019338417633884,0.9786433508952158,BH_within_long_dive_frame_prevalence
Coral_hydrocoral_branching,lat,dive_frame_prevalence,spearman_dive_level,dive,18,0.14167558740556013,0.574955810560223,0.7572590889578957,BH_within_lat_dive_frame_prevalence
Coral_hydrocoral_branching,long,dive_frame_prevalence,spearman_dive_level,dive,18,-0.11065173614886814,0.6620393207218518,0.9786433508952158,BH_within_long_dive_frame_prevalence
Worm_annelida_tube,lat,dive_frame_prevalence,spearman_dive_level,dive,18,-0.15408512790823695,0.541557421367025,0.7572590889578957,BH_within_lat_dive_frame_prevalence
Worm_annelida_tube,long,dive_frame_prevalence,spearman_dive_level,dive,18,-0.07755962814173001,0.7596845081713655,0.9786433508952158,BH_within_long_dive_frame_prevalence
Sponge_true_demospongiae_crust_encrusting,lat,dive_frame_prevalence,spearman_dive_level,dive,18,0.07335873157169312,0.7723667652597013,0.8246217910653233,BH_within_lat_dive_frame_prevalence
Sponge_true_demospongiae_crust_encrusting,long,dive_frame_prevalence,spearman_dive_level,dive,18,0.02657925056945403,0.9166230968329937,0.9786433508952158,BH_within_long_dive_frame_prevalence
Tunicate_ascidian_unstalked_solitary,lat,dive_frame_prevalence,spearman_dive_level,dive,18,-0.056228233860378965,0.8246217910653233,0.8246217910653233,BH_within_lat_dive_frame_prevalence
Tunicate_ascidian_unstalked_solitary,long,dive_frame_prevalence,spearman_dive_level,dive,18,0.23483556494628863,0.34824163068256675,0.9786433508952158,BH_within_long_dive_frame_prevalence
Macroalgae_encrusting_red_calcareous,lat,dive_frame_prevalence,spearman_dive_level,dive,18,-0.29230065804160904,0.23918620531960608,0.7572590889578957,BH_within_lat_dive_frame_prevalence
Macroalgae_encrusting_red_calcareous,long,dive_frame_prevalence,spearman_dive_level,dive,18,0.006797689721897886,0.9786433508952158,0.9786433508952158,BH_within_long_dive_frame_prevalence
Echinoderm_crinoid_unstalked,lat,dive_frame_prevalence,spearman_dive_level,dive,18,0.15104447135042975,0.5496593276418111,0.7572590889578957,BH_within_lat_dive_frame_prevalence
Echinoderm_crinoid_unstalked,long,dive_frame_prevalence,spearman_dive_level,dive,18,0.1201740684466923,0.6348012544081585,0.9786433508952158,BH_within_long_dive_frame_prevalence
Anemone_true_other,lat,dive_frame_prevalence,spearman_dive_level,dive,18,0.34067694633053136,0.16654028040108088,0.7572590889578957,BH_within_lat_dive_frame_prevalence
Anemone_true_other,long,dive_frame_prevalence,spearman_dive_level,dive,18,0.04520308996618701,0.8586425187207289,0.9786433508952158,BH_within_long_dive_frame_prevalence
Bryozoan_hard_branching,lat,dive_frame_prevalence,spearman_dive_level,dive,18,0.28555122685957157,0.2507071087931183,0.7572590889578957,BH_within_lat_dive_frame_prevalence
Bryozoan_hard_branching,long,dive_frame_prevalence,spearman_dive_level,dive,18,-0.10694389577366195,0.6727578904599089,0.9786433508952158,BH_within_long_dive_frame_prevalence
Tunicate_ascidian_stalked_solitary,lat,dive_frame_prevalence,spearman_dive_level,dive,18,0.19412305578349792,0.44020084186525865,0.7572590889578957,BH_within_lat_dive_frame_prevalence
Tunicate_ascidian_stalked_solitary,long,dive_frame_prevalence,spearman_dive_level,dive,18,0.08643435330506112,0.7330866810148662,0.9786433508952158,BH_within_long_dive_frame_prevalence
Coral_octocoral_massivesoft,lat,dive_frame_prevalence,spearman_dive_level,dive,18,0.13036000826337088,0.606151840873093,0.7572590889578957,BH_within_lat_dive_frame_prevalence
Coral_octocoral_massivesoft,long,dive_frame_prevalence,spearman_dive_level,dive,18,-0.19837392561817305,0.43005480670205776,0.9786433508952158,BH_within_long_dive_frame_prevalence
