community_unit,predictor,response_type,analysis_method,optimizer_used,retried_with_bfgs,fit_converged,critical_warning,stable_for_inference,warnings,primary_warnings,error_message,primary_error
Echinoderm_brittlestar,depth_m,frame_occurrence,binomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Echinoderm_brittlestar,depth_m,frame_occurrence,binomial_gam_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Echinoderm_brittlestar,depth_m,valid_point_cover,quasibinomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Echinoderm_brittlestar,temperature,frame_occurrence,binomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Echinoderm_brittlestar,temperature,frame_occurrence,binomial_gam_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Echinoderm_brittlestar,temperature,valid_point_cover,quasibinomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Mollusc_bivalvia_burrowingclam,depth_m,frame_occurrence,binomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Mollusc_bivalvia_burrowingclam,depth_m,frame_occurrence,binomial_gam_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Mollusc_bivalvia_burrowingclam,depth_m,valid_point_cover,quasibinomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Mollusc_bivalvia_burrowingclam,temperature,frame_occurrence,binomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Mollusc_bivalvia_burrowingclam,temperature,frame_occurrence,binomial_gam_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Mollusc_bivalvia_burrowingclam,temperature,valid_point_cover,quasibinomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Coral_hydrocoral_branching,depth_m,frame_occurrence,binomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Coral_hydrocoral_branching,depth_m,frame_occurrence,binomial_gam_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Coral_hydrocoral_branching,depth_m,valid_point_cover,quasibinomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Coral_hydrocoral_branching,temperature,frame_occurrence,binomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Coral_hydrocoral_branching,temperature,frame_occurrence,binomial_gam_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Coral_hydrocoral_branching,temperature,valid_point_cover,quasibinomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Worm_annelida_tube,depth_m,frame_occurrence,binomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Worm_annelida_tube,depth_m,frame_occurrence,binomial_gam_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Worm_annelida_tube,depth_m,valid_point_cover,quasibinomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Worm_annelida_tube,temperature,frame_occurrence,binomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Worm_annelida_tube,temperature,frame_occurrence,binomial_gam_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Worm_annelida_tube,temperature,valid_point_cover,quasibinomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Sponge_true_demospongiae_crust_encrusting,depth_m,frame_occurrence,binomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Sponge_true_demospongiae_crust_encrusting,depth_m,frame_occurrence,binomial_gam_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Sponge_true_demospongiae_crust_encrusting,depth_m,valid_point_cover,quasibinomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Sponge_true_demospongiae_crust_encrusting,temperature,frame_occurrence,binomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Sponge_true_demospongiae_crust_encrusting,temperature,frame_occurrence,binomial_gam_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Sponge_true_demospongiae_crust_encrusting,temperature,valid_point_cover,quasibinomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Tunicate_ascidian_unstalked_solitary,depth_m,frame_occurrence,binomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Tunicate_ascidian_unstalked_solitary,depth_m,frame_occurrence,binomial_gam_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Tunicate_ascidian_unstalked_solitary,depth_m,valid_point_cover,quasibinomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Tunicate_ascidian_unstalked_solitary,temperature,frame_occurrence,binomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Tunicate_ascidian_unstalked_solitary,temperature,frame_occurrence,binomial_gam_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Tunicate_ascidian_unstalked_solitary,temperature,valid_point_cover,quasibinomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Macroalgae_encrusting_red_calcareous,depth_m,frame_occurrence,binomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Macroalgae_encrusting_red_calcareous,depth_m,frame_occurrence,binomial_gam_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Macroalgae_encrusting_red_calcareous,depth_m,valid_point_cover,quasibinomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Macroalgae_encrusting_red_calcareous,temperature,frame_occurrence,binomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Macroalgae_encrusting_red_calcareous,temperature,frame_occurrence,binomial_gam_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Macroalgae_encrusting_red_calcareous,temperature,valid_point_cover,quasibinomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Echinoderm_crinoid_unstalked,depth_m,frame_occurrence,binomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Echinoderm_crinoid_unstalked,depth_m,frame_occurrence,binomial_gam_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Echinoderm_crinoid_unstalked,depth_m,valid_point_cover,quasibinomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Echinoderm_crinoid_unstalked,temperature,frame_occurrence,binomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Echinoderm_crinoid_unstalked,temperature,frame_occurrence,binomial_gam_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Echinoderm_crinoid_unstalked,temperature,valid_point_cover,quasibinomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Anemone_true_other,depth_m,frame_occurrence,binomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Anemone_true_other,depth_m,frame_occurrence,binomial_gam_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Anemone_true_other,depth_m,valid_point_cover,quasibinomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Anemone_true_other,temperature,frame_occurrence,binomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Anemone_true_other,temperature,frame_occurrence,binomial_gam_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Anemone_true_other,temperature,valid_point_cover,quasibinomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Bryozoan_hard_branching,depth_m,frame_occurrence,binomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Bryozoan_hard_branching,depth_m,frame_occurrence,binomial_gam_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Bryozoan_hard_branching,depth_m,valid_point_cover,quasibinomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Bryozoan_hard_branching,temperature,frame_occurrence,binomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Bryozoan_hard_branching,temperature,frame_occurrence,binomial_gam_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Bryozoan_hard_branching,temperature,valid_point_cover,quasibinomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Tunicate_ascidian_stalked_solitary,depth_m,frame_occurrence,binomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Tunicate_ascidian_stalked_solitary,depth_m,frame_occurrence,binomial_gam_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Tunicate_ascidian_stalked_solitary,depth_m,valid_point_cover,quasibinomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Tunicate_ascidian_stalked_solitary,temperature,frame_occurrence,binomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Tunicate_ascidian_stalked_solitary,temperature,frame_occurrence,binomial_gam_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
Tunicate_ascidian_stalked_solitary,temperature,valid_point_cover,quasibinomial_linear_with_dive_random_intercept,outer/newton,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA
