community_unit,total_points,frames_present,dives_present,eligible_frames,eligible_dives,frame_prevalence_percent
Echinoderm_brittlestar,3985,390,17,430,18,90.69767441860465
Mollusc_bivalvia_burrowingclam,728,253,14,430,18,58.83720930232558
Coral_hydrocoral_branching,1645,190,15,430,18,44.18604651162791
Worm_annelida_tube,335,157,15,430,18,36.51162790697674
Sponge_true_demospongiae_crust_encrusting,600,120,11,430,18,27.906976744186046
Tunicate_ascidian_unstalked_solitary,391,100,9,430,18,23.25581395348837
Macroalgae_encrusting_red_calcareous,783,85,8,430,18,19.767441860465116
Echinoderm_crinoid_unstalked,351,82,9,430,18,19.069767441860463
Anemone_true_other,319,77,9,430,18,17.906976744186046
Bryozoan_hard_branching,261,72,9,430,18,16.74418604651163
Tunicate_ascidian_stalked_solitary,442,62,4,430,18,14.418604651162791
Coral_octocoral_massivesoft,177,51,4,430,18,11.86046511627907
Coral_octocoral_whip_pennatulacea,93,47,7,430,18,10.930232558139535
Echinoderm_regularurchin,82,45,6,430,18,10.465116279069768
Macroalgae_laminate_red,93,41,10,430,18,9.534883720930232
Macroalgae_filamentous_brown,258,35,9,430,18,8.13953488372093
Macroalgae_erect_fine_branching_brown,203,35,10,430,18,8.13953488372093
Macroalgae_sheetmembraneous_red,145,33,9,430,18,7.674418604651163
Macroalgae_canopyforming_brown,1483,32,3,430,18,7.441860465116279
Sponge_true_demospongiae_massive_simple,66,25,7,430,18,5.813953488372093
Seaspider_pycnogonida,30,25,5,430,18,5.813953488372093
Macroalgae_laminate_brown,137,24,6,430,18,5.5813953488372094
Macroalgae_filamentous_red,73,24,7,430,18,5.5813953488372094
Jelly_hydromedusae,36,23,5,430,18,5.348837209302325
Echinoderm_seastar,59,22,5,430,18,5.116279069767442
Sponge_true_demospongiae_crust_creeping,22,19,6,430,18,4.4186046511627906
Worm_annelida_other,28,18,4,430,18,4.186046511627907
Echinoderm_cucumber_benthic,45,16,4,430,18,3.7209302325581395
Mollusc_bivalvia_clam,28,15,3,430,18,3.488372093023256
Bryozoan_soft_dendroid,26,15,7,430,18,3.488372093023256
Macroalgae_sheetmembraneous_brown,49,13,8,430,18,3.0232558139534884
Worm_annelida_scalebristle,42,13,2,430,18,3.0232558139534884
Macroalgae_encrusting_brown,24,13,7,430,18,3.0232558139534884
Macroalgae_filamentous_green,58,11,5,430,18,2.558139534883721
Macroalgae_erect_coarse_branching_brown,69,10,3,430,18,2.3255813953488373
Macroalgae_encrusting_red_noncalcareous,49,10,2,430,18,2.3255813953488373
Echinoderm_basketstar,82,9,2,430,18,2.0930232558139537
Sponge_true_demospongiae_massive_ball,15,9,3,430,18,2.0930232558139537
Fish_chordara_teleostei_bony,15,7,3,430,18,1.627906976744186
Crustacea_decapod_prawn,7,6,5,430,18,1.3953488372093024
Mollusc_gastropoda_snail,7,6,3,430,18,1.3953488372093024
Macroalgae_sheetmembraneous_green,8,5,4,430,18,1.1627906976744187
Bryozoan_hard_encrusting,6,5,2,430,18,1.1627906976744187
Crustacea_isopod,6,5,3,430,18,1.1627906976744187
Anemone_tube,17,4,1,430,18,0.9302325581395349
Echinoderm_sunstar,9,4,4,430,18,0.9302325581395349
Sponge_glass_hexactinellida_ball,5,4,2,430,18,0.9302325581395349
Macroalgae_erect_coarse_branching_green,10,3,2,430,18,0.6976744186046512
Macroalgae_laminate_green,10,3,3,430,18,0.6976744186046512
Coral_hydrocoral,4,3,1,430,18,0.6976744186046512
Crustacea_barnacle_acorn,4,3,1,430,18,0.6976744186046512
Coral_hydrocoral_encrusting,3,3,2,430,18,0.6976744186046512
Sponge_true_demospongiae_cuplike_cup,9,2,1,430,18,0.46511627906976744
Macroalgae_erect_fine_branching_green,7,2,1,430,18,0.46511627906976744
Sponge_true_demospongiae_erect_stalked,7,2,2,430,18,0.46511627906976744
Echinoderm_cucumber_pelagic,4,2,2,430,18,0.46511627906976744
Mollusc_gastropoda_nudibrach,3,2,2,430,18,0.46511627906976744
Sponge_true_demospongiae_massive_cryptic,3,2,2,430,18,0.46511627906976744
Tunicate_ascidian_unstalked_colonial,2,2,2,430,18,0.46511627906976744
Worm_ribbon_nemertea,2,2,2,430,18,0.46511627906976744
Coral_stony_branching,2,1,1,430,18,0.23255813953488372
Crustacea_decapod_lobster_squat,2,1,1,430,18,0.23255813953488372
Macroalgae_erect_fine_branching_red,2,1,1,430,18,0.23255813953488372
Anemone_true,1,1,1,430,18,0.23255813953488372
Biotic,1,1,1,430,18,0.23255813953488372
Jelly,1,1,1,430,18,0.23255813953488372
Macroalgae_erect_coarse_branching_red,1,1,1,430,18,0.23255813953488372
Sponge_calcarea,1,1,1,430,18,0.23255813953488372
Sponge_glass_hexactinellida_tubular,1,1,1,430,18,0.23255813953488372
Sponge_true_demospongiae_erect_laminar,1,1,1,430,18,0.23255813953488372
Sponge_true_demospongiae_erect_simple,1,1,1,430,18,0.23255813953488372
Tunicate_ascidian_unstalked,1,1,1,430,18,0.23255813953488372
Worm_annelida,1,1,1,430,18,0.23255813953488372
