dive_id,n_frames,vme_prevalence,lat,long
2025-09-sa-fr01-001,6,0,71.058217,-22.141817
2025-09-sa-fr01-002,49,0.7551020408163265,72.9571,-24.81585
2025-09-sa-fr01-003,39,0.9230769230769231,72.957083,-24.8051
2025-09-sa-fr01-004,56,0.5535714285714286,72.778611,-22.990556
2025-09-sa-fr01-005,16,1,72.734683,-22.989967
2025-09-sa-fr01-006,16,0,72.7196,-22.922033
2025-09-sa-fr01-007,29,0.5517241379310345,72.715617,-22.824317
2025-09-sa-fr01-009,34,0,74.316733,-22.204767
2025-09-sa-fr01-010,5,0.6,74.315883,-22.03875
2025-09-sa-fr01-011,56,0.4642857142857143,74.0932,-21.253383
2025-09-sa-fr01-012,11,0.9090909090909091,74.503917,-18.741783
2025-09-sa-fr01-015,68,0.9558823529411765,74.865,-19.652778
2025-09-sa-fr01-016,20,1,74.937222,-19.797778
2025-09-sa-fr01-018,9,0.7777777777777778,73.117778,-22.7225
2025-09-sa-fr01-021,28,0.8928571428571429,73.725,-24.051944
2025-09-sa-fr01-022,4,1,73.360833,-25.301111
2025-09-sa-fr01-025,16,0.9375,73.328611,-26.524167
2025-09-sa-fr01-026,20,1,72.426111,-24.870556
2025-09-sa-fr01-028,40,1,70.468056,-21.981944
