dive_id,sampled_frames,frames_with_vme,vme_frame_prevalence,total_vme_annotations
2025-09-sa-fr01-001,6,0,0,0
2025-09-sa-fr01-002,49,37,0.7551020408163265,125
2025-09-sa-fr01-003,39,36,0.9230769230769231,152
2025-09-sa-fr01-004,56,31,0.5535714285714286,117
2025-09-sa-fr01-005,16,16,1,100
2025-09-sa-fr01-006,16,0,0,0
2025-09-sa-fr01-007,29,16,0.5517241379310345,38
2025-09-sa-fr01-009,34,0,0,0
2025-09-sa-fr01-010,5,3,0.6,10
2025-09-sa-fr01-011,56,26,0.4642857142857143,51
2025-09-sa-fr01-012,11,10,0.9090909090909091,26
2025-09-sa-fr01-015,68,65,0.9558823529411765,487
2025-09-sa-fr01-016,20,20,1,308
2025-09-sa-fr01-018,9,7,0.7777777777777778,1163
2025-09-sa-fr01-021,28,25,0.8928571428571429,82
2025-09-sa-fr01-022,4,4,1,21
2025-09-sa-fr01-025,16,15,0.9375,141
2025-09-sa-fr01-026,20,20,1,33
2025-09-sa-fr01-028,40,40,1,220
