vme_unit,unique_annotations,frames_present,dives_present
Coral_hydrocoral,529,184,16
Echinoderm_brittlestar,652,136,9
Sponge_true_demospongiae_crust_encrusting,297,101,12
Coral_hydrocoral_branching,329,95,9
Coral_octocoral_branching3D_fleshy_arborescent,120,66,5
Tunicate_ascidian,566,41,3
Coral_octocoral,141,39,4
Sponge_glass_hexactinellida_ball,77,37,6
Tunicate_ascidian_stalked_solitary_aggregation,44,36,1
Sponge_true_demospongiae_massive,82,33,4
Sponge_true_demospongiae_massive_ball,41,18,3
Tunicate_ascidian_unstalked,107,15,2
Large anemone field,12,11,1
Bryozoan_soft_dendroid,20,10,4
Sponge_true_demospongiae_erect_branching,69,8,1
Sponge_true_demospongiae_cuplike_cup,6,6,3
Sponge_glass_hexactinellida_tubular,13,5,2
Bryozoan_hard_fenestrate,5,4,3
Coral_octocoral_branching3D_nonfleshy_bushy,5,4,1
Sponge_true_demospongiae_erect_palmate,4,4,2
Sponge_glass_hexactinellida_vase,7,3,2
Sponge_calcarea,4,3,2
Echinoderm_basketstar,2,1,1
Hydroids,2,1,1
Bryozoan_soft,1,1,1
Echinoderm_crinoid_stalked,1,1,1
Sponge_glass_hexactinellida_mat,1,1,1
