TripID,Company,Vessel,Country,SampleID,FullID,Date,Location,Lat,Long,,,,,
2025_09_SA_FR01,Secret Atlas,Freya,Greenland,001,2025_09_sa_fr01_001,29-Aug-25,Storefjord,71.058217,-22.141817,,,,,
2025_09_SA_FR01,Secret Atlas,Freya,Greenland,002,2025_09_sa_fr01_002,30-Aug-25,Murray O Island,72.9571,-24.81585,,,,,
2025_09_SA_FR01,Secret Atlas,Freya,Greenland,003,2025_09_sa_fr01_003,30-Aug-25,Murray O Island,72.957083,-24.8051,,,,,
2025_09_SA_FR01,Secret Atlas,Freya,Greenland,004,2025_09_sa_fr01_004,30-Aug-25,Vega Sound,72.778611,-22.990556,,,,,
2025_09_SA_FR01,Secret Atlas,Freya,Greenland,005,2025_09_sa_fr01_005,30-Aug-25,Vega Sound,72.734683,-22.989967,,,,,
2025_09_SA_FR01,Secret Atlas,Freya,Greenland,006,2025_09_sa_fr01_006,30-Aug-25,Vega Sound,72.7196,-22.922033,,,,,
2025_09_SA_FR01,Secret Atlas,Freya,Greenland,007,2025_09_sa_fr01_007,30-Aug-25,Vega Sound,72.715617,-22.824317,,,,,
2025_09_SA_FR01,Secret Atlas,Freya,Greenland,008,2025_09_sa_fr01_008,31-Aug-25,GrantaFjord,74.30195,-22.322333,,,,,
2025_09_SA_FR01,Secret Atlas,Freya,Greenland,009,2025_09_sa_fr01_009,31-Aug-25,GrantaFjord,74.316733,-22.204767,,,,,
2025_09_SA_FR01,Secret Atlas,Freya,Greenland,010,2025_09_sa_fr01_010,31-Aug-25,GrantaFjord,74.315883,-22.03875,,,,,
2025_09_SA_FR01,Secret Atlas,Freya,Greenland,011,2025_09_sa_fr01_011,31-Aug-25,Eskimones,74.0932,-21.253383,,,,,
2025_09_SA_FR01,Secret Atlas,Freya,Greenland,012,2025_09_sa_fr01_012,1-Sep-25,Hvalros Ø Island,74.503917,-18.741783,,,,,
2025_09_SA_FR01,Secret Atlas,Freya,Greenland,013,2025_09_sa_fr01_013,1-Sep-25,Hvalros Ø Island,74.505467,-18.750683,,,,,
2025_09_SA_FR01,Secret Atlas,Freya,Greenland,014,2025_09_sa_fr01_014,1-Sep-25,Lille Pendulum Island,74.593283,-18.497633,,,,,
2025_09_SA_FR01,Secret Atlas,Freya,Greenland,015,2025_09_sa_fr01_015,1-Sep-25,Kuhnø Island,74.865,-19.652778,,,,,
2025_09_SA_FR01,Secret Atlas,Freya,Greenland,016,2025_09_sa_fr01_016,1-Sep-25,Kuhnø Island,74.937222,-19.797778,,,,,
2025_09_SA_FR01,Secret Atlas,Freya,Greenland,017,2025_09_sa_fr01_017,2-Sep-25,"Storborgen, Smallefjord",75.668611,-22.150833,,,,,
2025_09_SA_FR01,Secret Atlas,Freya,Greenland,018,2025_09_sa_fr01_018,3-Sep-25,Borgøen Island,73.117778,-22.7225,,,,,
2025_09_SA_FR01,Secret Atlas,Freya,Greenland,019,2025_09_sa_fr01_019,3-Sep-25,Kap Humboldt,73.136944,-22.798333,,,,,
2025_09_SA_FR01,Secret Atlas,Freya,Greenland,020,2025_09_sa_fr01_020,3-Sep-25,Kap Wijkander,73.161667,-22.876667,,,,,
2025_09_SA_FR01,Secret Atlas,Freya,Greenland,021,2025_09_sa_fr01_021,4-Sep-25,Turidsøen glacier,73.725,-24.051944,,,,,
2025_09_SA_FR01,Secret Atlas,Freya,Greenland,022,2025_09_sa_fr01_022,5-Sep-25,Blomsterbugten,73.360833,-25.301111,,,,,
2025_09_SA_FR01,Secret Atlas,Freya,Greenland,023,2025_09_sa_fr01_023,5-Sep-25,Joseph Fjord,73.309444,-25.353333,,,,,
2025_09_SA_FR01,Secret Atlas,Freya,Greenland,024,2025_09_sa_fr01_024,5-Sep-25,Kejser Franz Joseph Fjord,73.253889,-26.371944,,,,,
2025_09_SA_FR01,Secret Atlas,Freya,Greenland,025,2025_09_sa_fr01_025,5-Sep-25,Isfjord,73.328611,-26.524167,,,,,
2025_09_SA_FR01,Secret Atlas,Freya,Greenland,026,2025_09_sa_fr01_026,6-Sep-25,Segelsällskapet Fjord,72.426111,-24.870556,,,,,
2025_09_SA_FR01,Secret Atlas,Freya,Greenland,027,2025_09_sa_fr01_027,7-Sep-25,"Kong Oscar Fjord, Jameson Land",72.0175,-23.073056,,,,,
2025_09_SA_FR01,Secret Atlas,Freya,Greenland,028,2025_09_sa_fr01_028,8-Sep-25,Ittoqqortoormitt,70.468056,-21.981944,,,,,
