Layer_01,Layer_02,Layer_03,Layer_04,Layer_05,Layer_06,Layer_07,Layer_08,cpc_codes,kingdom,phylum,class,order,family,taxonomic_resolution,morphology,common_id_short,common_id_mid,common_id_full,releif,substrate,type,size
Anemone,Cnidaria,Anthozoa,Actiniaria,,,,,CNA,Animalia,Cnidaria,Hexacorallia,,,C,,Anemone,Anemone,Anemone,,,,
Anemone,Cnidaria,Anthozoa,Actiniaria,Colonial anemone,,,,CNCA,Animalia,Cnidaria,Hexacorallia,,,C,colonial,Anemone,Anemone_colonial,Anemone_colonial,,,,
Anemone,Cnidaria,Anthozoa,Actiniaria,Colonial anemone,Corallimorphs,,,CNCAC,Animalia,Cnidaria,Hexacorallia,Corallimorpharia,,O,colonial,Anemone,Anemone_colonial,Anemone_colonial_corallimorph,,,,
Anemone,Cnidaria,Anthozoa,Actiniaria,Colonial anemone,Zoanthids,,,CNCAZ,Animalia,Cnidaria,Hexacorallia,Zoantharia,,O,colonial,Anemone,Anemone_colonial,Anemone_colonial_zoanthid,,,,
Anemone,Cnidaria,Anthozoa,Actiniaria,True anemone,,,,CNTR,Animalia,Cnidaria,Hexacorallia,Actiniaria,,O,,Anemone,Anemone_true,Anemone_true,,,,
Anemone,Cnidaria,Anthozoa,Actiniaria,True anemone,Flytrap,,,CNTFT,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actinoscyphiidae,F,flytrap,Anemone,Anemone_true,Anemone_true_flytrap,,,,
Anemone,Cnidaria,Anthozoa,Actiniaria,True anemone,Fourlobed,,,CNTFL,Animalia,Cnidaria,Hexacorallia,Actiniaria,,O,fourlobed,Anemone,Anemone_true,Anemone_true_fourlobed,,,,
Anemone,Cnidaria,Anthozoa,Actiniaria,True anemone,Other anemones,,,CNTRO,Animalia,Cnidaria,Hexacorallia,Actiniaria,,O,,Anemone,Anemone_true,Anemone_true_other,,,,
Anemone,Cnidaria,Anthozoa,Ceriantharia,Tube anemone,,,,CNTU,Animalia,Cnidaria,Hexacorallia,Ceriantharia,,O,tube,Anemone,Anemone_tube,Anemone_tube,,,,
Bacteria,Bacteria,,,,,,,BAC,Bacteria,,,,,K,,Bacteria,Bacteria,Bacteria,,,,
