Layer_01,Layer_02,Layer_03,Layer_04,Layer_05,cpc_codes,kingdom,phylum,class,order,family,taxonomic_resolution,morphology,common_id_short,common_id_mid,common_id_full,,,,
Sponges,Porifera,Demospongiae,Massive demosponge,,SPM,Animalia,Porifera,Demospongiae,,,C,massive,Sponge,Sponge_demospongiae,Sponge_true_demospongiae_massive,,,,
Sponges,Porifera,Demospongiae,Branching demosponge,,SPEB,Animalia,Porifera,Demospongiae,,,C,erect_branching,Sponge,Sponge_demospongiae,Sponge_true_demospongiae_erect_branching,,,,
Sponges,Porifera,Demospongiae,Encrusting demosponge,,SPCE,Animalia,Porifera,Demospongiae,,,C,crust_encrusting,Sponge,Sponge_demospongiae,Sponge_true_demospongiae_crust_encrusting,,,,
Sponges,Porifera,Demospongiae,Cup demosponge,,SPCLC,Animalia,Porifera,Demospongiae,,,C,cuplike_cup,Sponge,Sponge_demospongiae,Sponge_true_demospongiae_cuplike_cup,,,,
Sponges,Porifera,Demospongiae,Vase demosponge,,SPCLTC,Animalia,Porifera,Demospongiae,,,C,cuplike_tube,Sponge,Sponge_demospongiae,Sponge_true_demospongiae_cuplike_tube,,,,
Sponges,Porifera,Demospongiae,Barrel demosponge,,SPCLB,Animalia,Porifera,Demospongiae,,,C,cuplike_barrel,Sponge,Sponge_demospongiae,Sponge_true_demospongiae_cuplike_barrel,,,,
Sponges,Porifera,Demospongiae,Ball demosponge,,SPMR,Animalia,Porifera,Demospongiae,,,C,massive_ball,Sponge,Sponge_demospongiae,Sponge_true_demospongiae_massive_ball,,,,
Sponges,Porifera,Demospongiae,Stalked demosponge,,SPMST,Animalia,Porifera,Demospongiae,,,C,erect_stalked,Sponge,Sponge_demospongiae,Sponge_true_demospongiae_erect_stalked,,,,
Sponges,Porifera,Demospongiae,Fan demosponge,,SPE,Animalia,Porifera,Demospongiae,,,C,erect_fan,Sponge,Sponge_demospongiae,Sponge_true_demospongiae_erect,,,,
Sponges,Porifera,Demospongiae,Finger demosponge,,SPEP,Animalia,Porifera,Demospongiae,,,C,erect_palmate,Sponge,Sponge_demospongiae,Sponge_true_demospongiae_erect_palmate,,,,
Sponges,Porifera,Hexactinellida,Tubular glass sponge,,GST,Animalia,Porifera,Hexactinellida,,,C,tubular,Sponge,Sponge_hexactinellida,Sponge_glass_hexactinellida_tubular,,,,
Sponges,Porifera,Hexactinellida,Vase glass sponge,,GSV,Animalia,Porifera,Hexactinellida,,,C,vase,Sponge,Sponge_hexactinellida,Sponge_glass_hexactinellida_vase,,,,
Sponges,Porifera,Hexactinellida,Barrel glass sponge,,GSB,Animalia,Porifera,Hexactinellida,,,C,barrel,Sponge,Sponge_hexactinellida,Sponge_glass_hexactinellida_barrel,,,,
Sponges,Porifera,Hexactinellida,Ball glass sponge,,GSR,Animalia,Porifera,Hexactinellida,,,C,ball,Sponge,Sponge_hexactinellida,Sponge_glass_hexactinellida_ball,,,,
Sponges,Porifera,Hexactinellida,Glass sponge mat,,GSM,Animalia,Porifera,Hexactinellida,,,C,mat,Sponge,Sponge_hexactinellida,Sponge_glass_hexactinellida_mat,,,,
Sponges,Porifera,Hexactinellida,Stalked glass sponge,,GLS,Animalia,Porifera,Hexactinellida,,,C,stalked,Sponge,Sponge_hexactinellida,Sponge_glass_hexactinellida,,,,
Sponges,Porifera,Calcarea,Calcareous sponge,,CAL,Animalia,Porifera,Calcarea,,,C,,Sponge,Sponge_calcarea,Sponge_calcarea,,,,
Coral,Cnidaria,Anthozoa,Alcyonacea (Octocorals / soft corals),Branching octocoral,CBB,Animalia,Cnidaria,Octocorallia,,,C,branching3D,Coral,Coral_octocoral,Coral_octocoral_branching3D,,,,
Coral,Cnidaria,Anthozoa,Alcyonacea (Octocorals / soft corals),Bushy octocoral,CBNBU,Animalia,Cnidaria,Octocorallia,,,C,branching3D_nonfleshy_bushy,Coral,Coral_octocoral,Coral_octocoral_branching3D_nonfleshy_bushy,,,,
Coral,Cnidaria,Anthozoa,Alcyonacea (Octocorals / soft corals),Bottlebrush octocoral,CBNB,Animalia,Cnidaria,Octocorallia,,,C,branching3D_nonfleshy_bottlebrush,Coral,Coral_octocoral,Coral_octocoral_branching3D_nonfleshy_bottlebrush,,,,
Coral,Cnidaria,Anthozoa,Alcyonacea (Octocorals / soft corals),Arborescent octocoral,CBBFA,Animalia,Cnidaria,Octocorallia,,,C,branching3D_fleshy_arborescent,Coral,Coral_octocoral,Coral_octocoral_branching3D_fleshy_arborescent,,,,
Coral,Cnidaria,Anthozoa,Alcyonacea (Octocorals / soft corals),Whip coral,CB,Animalia,Cnidaria,Octocorallia,,,C,whip,Coral,Coral_octocoral,Coral_octocoral,,,,
Coral,Cnidaria,Anthozoa,Sea fan / gorgonian,,CBF,Animalia,Cnidaria,Octocorallia,,,C,fan2D,Coral,Coral_octocoral,Coral_octocoral_fan2D,,,,
Coral,Cnidaria,Anthozoa,Soft coral colony,,CB,Animalia,Cnidaria,Octocorallia,,,C,,Coral,Coral_octocoral,Coral_octocoral,,,,
Coral,Cnidaria,Anthozoa,Mushroom soft coral,,CBBFM,Animalia,Cnidaria,Octocorallia,,,C,branching3D_mushroom,Coral,Coral_octocoral,Coral_octocoral_branching3D_mushroom,,,,
Coral,Cnidaria,Pennatulacea (Sea pens),Sea pen,,CBQ,Animalia,Cnidaria,Octocorallia,Scleralcyonacea,Pennatuloidea,F,seapen_pennatulacea,Coral,Coral_octocoral,Coral_octocoral_seapen_pennatulacea,,,,
Coral,Cnidaria,Pennatulacea (Sea pens),Quill sea pen,,CBQ,Animalia,Cnidaria,Octocorallia,Scleralcyonacea,Pennatuloidea,F,quill_seapen_pennatulacea,Coral,Coral_octocoral,Coral_octocoral_seapen_pennatulacea,,,,
Coral,Cnidaria,Pennatulacea (Sea pens),Sea whip pen,,CBW,Animalia,Cnidaria,Octocorallia,Scleralcyonacea,Pennatuloidea,F,whip_pennatulacea,Coral,Coral_octocoral,Coral_octocoral_whip_pennatulacea,,,,
Coral,Cnidaria,Antipatharia (Black corals),,,CB,Animalia,Cnidaria,Hexacorallia,Antipatharia,,O,,Coral,Coral_black,Coral_black_,,,,
Coral,Cnidaria,Antipatharia (Black corals),Branching black coral,,CBB,Animalia,Cnidaria,Hexacorallia,Antipatharia,,O,branching3D,Coral,Coral_black,Coral_black_branching3D,,,,
